area,diameter,width,height,shape_factor,circularity,cx,cy,time_step,real_time,velocity_y_raw,diameter_clean,shape_factor_clean,velocity_y_clean,circularity_clean,area_clean
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,445.0,4.0,0,0.0,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,445.0,4.0,1,0.001,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,445.0,4.0,2,0.002,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,445.0,4.0,3,0.003,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,445.0,4.0,4,0.004,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,445.0,4.0,5,0.005,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,445.0,4.0,6,0.006,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
132.0,12.964089628857149,28.0,8.0,0.2857142857142857,0.4462142091460765,445.0,4.0,7,0.007,0.0,12.964089628857149,0.2857142857142857,0.0,0.4462142091460765,132.0
133.0,13.013103375051497,28.0,8.0,0.2857142857142857,0.44959461982142557,445.0,4.0,8,0.008,-2.2737367544323206e-13,13.013103375051497,0.2857142857142857,-2.2737367544323206e-13,0.44959461982142557,133.0
134.0,13.061933202803933,28.0,8.0,0.2857142857142857,0.4529750304967746,445.0,4.0,9,0.009000000000000001,2.2737367544323206e-13,13.061933202803933,0.2857142857142857,2.2737367544323206e-13,0.4529750304967746,134.0
135.0,13.110581167104948,28.0,8.0,0.2857142857142857,0.4563554411721237,445.0,4.0,10,0.01,500.00000000000045,13.110581167104948,0.2857142857142857,1.5158245029548806e-13,0.4563554411721237,135.0
140.0,13.351162356249091,28.0,9.0,0.32142857142857145,0.4606543270046262,445.0,5.0,11,0.011,500.00000000000045,13.351162356249091,0.32142857142857145,7.579122514774403e-14,0.4606543270046262,140.0
146.0,13.63425735166143,28.0,9.0,0.32142857142857145,0.48039665530482445,445.0,5.0,12,0.012,0.0,13.63425735166143,0.32142857142857145,0.0,0.48039665530482445,146.0
150.5,13.842779759955802,28.0,9.0,0.32142857142857145,0.4859472445803403,445.0,5.0,13,0.013000000000000001,4.547473508864641e-13,13.842779759955802,0.32142857142857145,4.547473508864641e-13,0.4859472445803403,150.5
155.5,14.070847494245605,28.0,9.0,0.32142857142857145,0.5020916751483148,445.0,5.0,14,0.014,0.0,14.070847494245605,0.32142857142857145,0.0,0.5020916751483148,155.5
165.5,14.516237276018515,28.0,10.0,0.35714285714285715,0.5204658850982692,445.0,5.0,15,0.015,-4.547473508864641e-13,14.516237276018515,0.35714285714285715,-4.547473508864641e-13,0.5204658850982692,165.5
175.0,14.927053303604616,29.0,10.0,0.3448275862068966,0.5079365510715564,445.0,5.0,16,0.016,0.0,14.927053303604616,0.3448275862068966,0.0,0.5079365510715564,175.0
191.5,15.614908671419878,30.0,11.0,0.36666666666666664,0.5197915624267371,445.0,5.0,17,0.017,499.99999999999955,15.614908671419878,0.36666666666666664,249.9999999999991,0.5197915624267371,191.5
209.0,16.312788383647018,31.0,12.0,0.3870967741935484,0.5143759465878553,445.0,6.0,18,0.018000000000000002,499.9999999999982,16.312788383647018,0.3870967741935484,499.9999999999982,0.5143759465878553,209.0
229.0,17.075475271404667,32.0,12.0,0.375,0.5333258670576528,445.0,6.0,19,0.019,9.094947017729282e-13,17.075475271404667,0.375,9.094947017729282e-13,0.5333258670576528,229.0
252.5,17.93022545997759,33.0,13.0,0.3939393939393939,0.5369784312148883,445.0,6.0,20,0.02,0.0,17.93022545997759,0.3939393939393939,250.00000000000114,0.5369784312148883,252.5
278.5,18.83075179616424,35.0,14.0,0.4,0.5243328495722028,445.0,6.0,21,0.021,500.00000000000136,18.83075179616424,0.4,500.00000000000136,0.5243328495722028,278.5
313.5,19.979003910967972,37.0,15.0,0.40540540540540543,0.5261929297267133,445.0,7.0,22,0.022,500.00000000000273,19.979003910967972,0.40540540540540543,500.00000000000273,0.5261929297267133,313.5
350.5,21.125114447729615,38.0,16.0,0.42105263157894735,0.5516414330744432,445.0,7.0,23,0.023,499.99999999999955,21.125114447729615,0.42105263157894735,499.99999999999955,0.5516414330744432,350.5
395.5,22.440281636885864,40.0,17.0,0.425,0.5602788776172618,445.0,8.0,24,0.024,499.99999999999955,22.440281636885864,0.425,499.99999999999955,0.5602788776172618,395.5
452.5,24.00293511203705,43.0,19.0,0.4418604651162791,0.5482597718703429,445.0,8.0,25,0.025,499.99999999999955,24.00293511203705,0.4418604651162791,499.99999999999955,0.5482597718703429,452.5
520.0,25.731003930322746,46.0,20.0,0.43478260869565216,0.5474341560337009,446.0,9.0,26,0.026000000000000002,499.9999999999977,25.731003930322746,0.43478260869565216,499.9999999999977,0.5474341560337009,520.0
612.5,27.92595962810029,48.0,22.0,0.4583333333333333,0.5769935869791802,446.0,9.0,27,0.027,499.9999999999991,27.92595962810029,0.4583333333333333,499.9999999999991,0.5769935869791802,612.5
722.0,30.319613310508885,49.0,24.0,0.4897959183673469,0.6205981788140617,446.0,10.0,28,0.028,999.9999999999991,30.319613310508885,0.4897959183673469,999.9999999999991,0.6205981788140617,722.0
840.5,32.713266992917475,51.0,26.0,0.5098039215686274,0.6413852089529859,446.0,11.0,29,0.029,1000.0,32.713266992917475,0.5098039215686274,1000.0,0.6413852089529859,840.5
